,user,text,favourite_count,retweet_count,created_at
147,elonmusk,@chicago_glenn @MrHumanityGives Great movie,3674,132,2022-11-14 04:36:27+00:00
148,elonmusk,@MrHumanityGives Are FB followed real?,20075,1005,2022-11-14 04:33:09+00:00
149,elonmusk,@BillyM2k Damn,22720,963,2022-11-14 03:54:02+00:00
150,elonmusk,@gchahal Good summary!,11794,712,2022-11-14 02:05:14+00:00
151,elonmusk,@MuskUniversity I do,14035,542,2022-11-14 01:56:50+00:00
152,elonmusk,@AnaPaulaVolei @GFiuza_Oficial Will look into it,39480,3984,2022-11-14 01:06:39+00:00
153,elonmusk,@ashleevance 🤣💯,22459,690,2022-11-13 23:48:23+00:00
154,elonmusk,@EricFrohnhoefer Twitter is super slow on Android. What have you done to fix that?,33572,1504,2022-11-13 23:36:10+00:00
155,elonmusk,@EricFrohnhoefer Then please correct me. What is the right number?,110206,3685,2022-11-13 23:34:51+00:00
156,elonmusk,"@_hawko False. Twitter spends $13M/year on food service for SF HQ. Badge in records show peak occupancy was 25%, average occupancy below 10%.

There are more people preparing breakfast than eating breakfast.

They don’t even bother serving dinner, because there is no one in the building.",154684,12460,2022-11-13 23:24:23+00:00
157,elonmusk,@WallStreetSilv @mtaibbi Yup,24612,1505,2022-11-13 23:08:08+00:00
158,elonmusk,@TrungTPhan 🤣,13887,501,2022-11-13 22:12:27+00:00
159,elonmusk,@dennishegstad Increasing granularity about what “verified” actually means is the right move,3776,210,2022-11-13 21:28:42+00:00
160,elonmusk,@jakeshieldsajj @SenMarkey @washingtonpost https://t.co/oNmqc7NlxY,7596,351,2022-11-13 21:17:35+00:00
161,elonmusk,@dogeofficialceo @TomFitton https://t.co/P0piGwEkmG,10442,2161,2022-11-13 21:07:13+00:00
162,elonmusk,@dogeofficialceo @TomFitton 🤔,8061,533,2022-11-13 21:00:50+00:00
163,elonmusk,@TomFitton 🤔 https://t.co/XpH56PxLgm,44442,12542,2022-11-13 20:46:40+00:00
164,elonmusk,@lexfridman I think you’re great,50192,1406,2022-11-13 20:34:46+00:00
165,elonmusk,@Tattytats @AmoneyResists I can’t tell,17991,403,2022-11-13 20:20:54+00:00
166,elonmusk,@nichegamer Especially bizarre given that almost no one came to the office. Estimated cost per lunch served in past 12 months is &gt;$400.,115815,8511,2022-11-13 20:05:37+00:00
167,elonmusk,@micsolana 🤣,7558,272,2022-11-13 19:54:05+00:00
168,elonmusk,"@HSajwanization I hope they keep cursing me on Twitter, as it increases advertising revenue!",120712,6953,2022-11-13 19:30:46+00:00
169,elonmusk,@219_eth 🧐,22560,1074,2022-11-13 19:28:49+00:00
170,elonmusk,@dennishegstad We will enable organizations to manage affiliations,6334,264,2022-11-13 18:56:21+00:00
171,elonmusk,"@engineers_feed Output of any company is the vector sum of people within it. Someone may be a strong vector, but negatively affect those around them to such a degree that they are a net negative.",35417,2748,2022-11-13 18:11:54+00:00
172,elonmusk,"Btw, I’d like to apologize for Twitter being super slow in many countries. App is doing &gt;1000 poorly batched RPCs just to render a home timeline!",173618,11264,2022-11-13 18:00:58+00:00
173,elonmusk,@jessica_kirsh @SpaceX @TeslaAIBot @Tesla Cool :),6885,267,2022-11-13 17:58:00+00:00
174,elonmusk,"@johnkrausphotos Ultimately, I think there is no choice but for Twitter to be the final arbiter, but I’m open to suggestions",10112,404,2022-11-13 17:55:00+00:00
175,elonmusk,"Rolling out soon, Twitter will enable organizations to identify which other Twitter accounts are actually associated with them",232379,17854,2022-11-13 17:52:01+00:00
176,elonmusk,@D4VIDBRAVO Coming soon,2420,108,2022-11-13 17:49:33+00:00
177,elonmusk,"@sama Amphetamines negatively affect empathy, psychedelics do the opposite",31965,2656,2022-11-13 17:48:57+00:00
178,elonmusk,@People4Bernie @SenMarkey @washingtonpost Are you suggesting the Senator will abuse his political power to attack me?,43124,4176,2022-11-13 17:45:23+00:00
179,elonmusk,@BillyM2k Twitter rocks,28001,1652,2022-11-13 17:42:04+00:00
180,elonmusk,@muratpak @archillect What matters is that you love them,25109,1399,2022-11-13 17:30:51+00:00
181,elonmusk,Twitter feels increasingly alive,566022,35190,2022-11-13 17:16:52+00:00
182,elonmusk,"@JohnLegere @HolyKnightKeith @Twitter @MikeSievert @TMobile I like both you and Mike! It’s just that Twitter at its core is a software &amp; servers company. The technology needs to evolve rapidly, which requires a technologist.",7477,388,2022-11-13 17:15:02+00:00
183,elonmusk,@JohnLegere @Twitter No,246910,8269,2022-11-13 16:10:27+00:00
184,elonmusk,"@TomFitton SBF was a major Dem donor, so no investigation",128941,22108,2022-11-13 15:56:46+00:00
185,elonmusk,@dogeofficialceo @SenMarkey @washingtonpost 🤣🤣,9777,265,2022-11-13 15:45:27+00:00
186,elonmusk,@SenMarkey @washingtonpost And why does your pp have a mask!?,58700,3986,2022-11-13 15:36:38+00:00
187,elonmusk,@SenMarkey @washingtonpost Perhaps it is because your real account sounds like a parody?,230097,14140,2022-11-13 15:20:22+00:00
188,elonmusk,@BLKMDL3 @DirtyTesLa @WholeMarsBlog Rollout will broaden roughly every week,3494,197,2022-11-13 05:51:44+00:00
189,elonmusk,@ID_AA_Carmack Fond memories,9080,398,2022-11-13 05:32:32+00:00
190,elonmusk,@TaraBull808 🤣💯,25056,927,2022-11-13 05:28:21+00:00
191,elonmusk,@WholeMarsBlog @saasInvestor Ok …,2321,89,2022-11-13 05:21:37+00:00
192,elonmusk,@DirtyTesLa @WholeMarsBlog Probably next month,2500,90,2022-11-13 05:20:17+00:00
193,elonmusk,@DirtyTesLa @WholeMarsBlog Going without saying that we all want ASS (Actually Smart Summon) ASAP!!,3468,213,2022-11-13 05:19:37+00:00
194,elonmusk,@slashdot No way,36348,1824,2022-11-13 05:15:23+00:00
195,elonmusk,@debarghya_das @ayushkhd @Tesla Making Tesla Superchargers &amp; connectors available to all is the right thing to do,8285,520,2022-11-13 01:30:48+00:00
196,elonmusk,@A_MrBenMitchell @RadioShack @MarioNawfal Spaces should be evolve. It has potential to be truly great.,4237,316,2022-11-13 00:39:10+00:00
